Date (DD-Mon-YY),Year ,Month ,Month Adjusted ,Site,Site Type,Net,Tag #,Fish Type,Fish Type code,TL,SL,Sex,Mass,Stomach,Gonads,Comments,Data inputter's comments,R Sample Name,R Sample Name (Hab)
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,951,Nile Perch,7,18.9,15.5,2,68.97,0,1,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,900,Nile Perch,7,10,8.3,0,10.94,0,,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,952,Nile Perch,7,21.5,17,1,106.96,,1,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,953,Nile Perch,7,39,32,1,580,1,3,,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,954,Nile Perch,7,75,62,1,4500,0,4,Bought from Luwafu manager,,2012-Jun-3-Mid,3-Mid
7-Jun-12,2012,Jun,Jun,DDB Right,3,Mid,955,Nile Perch,7,55,45.5,2,1500,1,3,Bought from Luwafu manager,,2012-Jun-3-Mid,3-Mid
30-Oct-09,2009,Oct ,Oct ,Forest Far,4,100,1548,Nile perch,7,19.5,15.8,1,46.55,0.25,1,,,2009-Oct -4-100,4-100
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.5,5.9,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.4,6,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.1,6,1,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,7.8,6.4,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Beadlei,12,15,12.5,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Beadlei,12,14.5,12,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,,Hap,6,8.1,6.6,2,,,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1340,Nile perch,7,9.9,8.1,0,10,1,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1339,Nile perch,7,10,8.4,0,11.2,0,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1341,Nile perch,7,11.1,9.3,0,14.5,0,,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1338,Nile perch,7,19.9,16.5,1,81,1,1,miscanthidium,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,5,1337,Nile perch,7,21.1,17.3,2,97.6,0,1,,,2009-Jul-1-5,1-5
09-Jul-09,2009,Jul,Jul,Pump Before,1,20,1343,Nile perch,7,36,29.5,2,500,1,2,,,2009-Jul-1-20,1-20
09-Jul-09,2009,Jul,Jul,Pump Before,1,20,1342,Nile perch,7,21.5,17.6,2,94.2,0,1,,,2009-Jul-1-20,1-20
09-Jul-09,2009,Jul,Jul,Pump Before,1,20,,Beadlei,12,11.8,9.6,2,,,,,,2009-Jul-1-20,1-20
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,,Beadlei,12,15,12.4,2,,,,,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,,Beadlei,12,16.2,13.8,2,,,,10 egg spots,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,,Beadlei,12,16.2,13.5,2,,,,12 egg spots,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,,Beadlei,12,15,12.4,1,,,,4 egg spots,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,,Hap,6,7.9,6.5,1,,,,,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,20 extra,1344,Nile perch,7,21.7,18,2,106.4,0,1,,,2009-Jul-1-20 extra,1-20 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,100,,,,,,,,,,Net empty,,2009-Jul-1-100,1-100
09-Jul-09,2009,Jul,Jul,Pump Before,1,100 extra,,Schilbe,14,23.9,20,,,,,,,2009-Jul-1-100 extra,1-100 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,100 extra,,Beadlei,12,14.7,12.1,2,,,,12 egg spots,,2009-Jul-1-100 extra,1-100 extra
09-Jul-09,2009,Jul,Jul,Pump Before,1,100 extra,1345,Nile perch,7,27.2,22.2,1,216.5,1,1,,,2009-Jul-1-100 extra,1-100 extra
19-Apr-17,2017,Apr,Apr,Pump Before,1,20,1,Nile Perch,7,9.2,7.5,0,9.77,1,,,,2017-Apr-1-20,1-20
19-Apr-17,2017,Apr,Apr,Pump Before,1,20,2,Nile Perch,7,13.6,11,2,30.52,1,1,,,2017-Apr-1-20,1-20
19-Apr-17,2017,Apr,Apr,Pump Before,1,20,3,Nile Perch,7,9.8,8.2,1,11.75,0,1,,,2017-Apr-1-20,1-20
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,4,Nile Perch,7,11.6,9.5,1,18.73,0,1,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,7,Nile Perch,7,10.3,8.3,1,13.33,0,1,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,8,Nile Perch,7,9.6,7.9,0,10.29,1,,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,9,Nile Perch,7,9.5,7.7,0,9.84,0,,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,5,Nile Perch,7,10,8.1,0,11.18,0,,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,10,Nile Perch,7,8.9,7.1,0,7.89,0,,,,2017-Apr-1-100,1-100
19-Apr-17,2017,Apr,Apr,Pump Before,1,100,6,Nile Perch,7,11.2,9.3,1,15.15,0,1,,,2017-Apr-1-100,1-100
did all of the nile perch converting from Nxxx to xxx tag up until this next group of 2017 – THIS WAS ALREADY DONE IN RONNY’S LTT,,,,,,,,,,,,,,,,,,,
28-Jul-17,2017,Jul,Jul,DDB Right,3,100,171,Nile Perch,7,8.9,7.5,0,7.18,0,,,,2017-Jul-3-100,3-100
28-Jul-17,2017,Jul,Jul,DDB Right,3,Mid,172,Nile Perch,7,18.2,15.5,1,60.78,0,1,,,2017-Jul-3-Mid,3-Mid
28-Jul-17,2017,Jul,Jul,DDB Right,3,Mid,173,Nile Perch,7,9.6,8.4,0,8.74,0,,,,2017-Jul-3-Mid,3-Mid
28-Jul-17,2017,Jul,Jul,DDB Right,3,Mid,174,Nile Perch,7,9.5,8,0,4.22,0,,,,2017-Jul-3-Mid,3-Mid
28-Jul-17,2017,Jul,Jul,DDB Right,3,Mid,175,Nile Perch,7,22.9,19.5,1,124.36,0,1,,,2017-Jul-3-Mid,3-Mid
end of Nxx conversion,,,,,,,,,,,,,,,,,,,
17-Jul-14,2014,Jul,Jul,Forest Near,4,100,,Nile Perch,7,20.5,16.6,1,91.84,0,1,,,2014-Jul-4-100,4-100
17-Jul-14,2014,Jul,Jul,Forest Near,4,100,,Nile Perch,7,15.1,12.2,1,36,0,1,,,2014-Jul-4-100,4-100
08-Oct-14,2014,Oct,Oct,Kawuwa Near,2,Mid,665,Nile Perch,7,21.7,17.5,2,108.29,0.25,1,,,2014-Oct-2-Mid,2-Mid
08-Oct-14,2014,Oct,Oct,Kawuwa Near,2,Mid,68,Nile Perch,7,19.2,15.5,1,71.37,0,1,,,2014-Oct-2-Mid,2-Mid
10-Oct-14,2014,Oct,Oct,Forest Far,4,20,905,Nile Perch,7,22.4,18.2,2,117.78,,1,,,2014-Oct-4-20,4-20
10-Oct-14,2014,Oct,Oct,Forest Far,4,100,,Nile Perch,7,11.7,9.5,0,18.73,1,,,,2014-Oct-4-100,4-100
changed date format,,,,,,,,,,,,,,,,,,,
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.7,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,1111,Nile Perch,7,9.3,7.5,0,,,,Miscanthidum morph,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.2,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.5,6.7,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.4,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,5.9,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.3,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.2,5.5,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.2,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,5.8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.2,5.8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.7,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,1155,Nile Perch,7,8,7.2,0,8.3,1,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,5.7,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.6,7,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.4,6.6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,5.8,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,5.9,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,5.7,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.1,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,5.9,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,5.8,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.3,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,5.8,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.1,6.8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7,5.6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.6,7,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.3,5.8,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.2,6.5,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.1,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.3,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6.1,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.1,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.7,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.8,6.2,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6.1,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.5,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.2,5.8,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.3,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.4,6,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8.2,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.4,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.6,6,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,8,6.5,1,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,,Hp,6,7.9,6.2,2,,,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,100,1154,Nile Perch,7,9.6,7.8,0,8.83,1,,,,2012-Nov-2-100,2-100
18-11-12,2012,Nov,Nov,Musozi Near,2,20,,Hp,6,7.1,5.7,2,,,,,,2012-Nov-2-20,2-20
18-11-12,2012,Nov,Nov,Musozi Near,2,20,,Hp,6,7.8,6.2,2,,,,,,2012-Nov-2-20,2-20
18-11-12,2012,Nov,Nov,Musozi Near,2,20,,Hp,6,8,6.4,2,,,,,,2012-Nov-2-20,2-20
18-11-12,2012,Nov,Nov,Musozi Near,2,20,,Hp,6,7.9,6.2,1,,,,,,2012-Nov-2-20,2-20
18-11-12,2012,Nov,Nov,Musozi Near,2,20,,Hp,6,7.8,6.2,2,,,,,,2012-Nov-2-20,2-20
