year,month,day,tag,prey,preynumber,preymass,preysl,preybd,comments,chaoborus,dissector
2012,09,28,906,ufp,2,0.6931,NA,NA,"missing year of capture on the label, no pharyngeal jaws, incomplete bodies",NA,Jennifer Sunahara
2012,09,28,904,odonata larvae,1,0.1568,NA,NA,"might be 909, but probably 904",NA,Jennifer Sunahara
2013,01,22,148,ufp,1,0.0064,NA,NA,"flesh and bones (small, tiny bones)",NA,Jennifer Sunahara
2012,08,28,986,ephemeroptera larvae,7,0.1652,NA,NA,"7 heads, mass of cerci and flesh",NA,Jennifer Sunahara
2012,08,28,985,ufp,1,0.8134,NA,NA,"mass of flesh and bone, no pharyngeal jaws, no fins",NA,Jennifer Sunahara
2012,11,17,1152,ephemeroptera larvae,5,0.1147,NA,NA,"5 heads, mass of cerci and flesh",NA,Jennifer Sunahara
2012,11,22,7,cichlid,1,0.4561,NA,NA,"pharyngeal jaws, no scales, no fins, maybe HAP body shape, but not much body",NA,Jennifer Sunahara
2012,12,18,117,ufp,1,0.668,NA,NA,"no pharyngeal jaws, no fins, no scales, not much body shape",NA,Jennifer Sunahara
2012,12,18,117,cichlid,2,2.3217,NA,NA,"pharyngeal jaws, no sales, maybe HAP shape, but very unsure",NA,Jennifer Sunahara
2012,12,18,117,hap,2,5.6854,NA,NA,"pharyngeal jaws, ctenoid scales, HAP body shape",NA,Jennifer Sunahara
2012,12,18,117,vegitation,NA,0.1096,NA,NA,NA,NA,Jennifer Sunahara
2012,11,22,10,nile perch,1,1.5566,NA,NA,"large spikes on the dorsal fin, body shape, no pharyngeal jaws",NA,Jennifer Sunahara
2012,11,18,1166,nile perch,1,0.6079,NA,NA,Might have pharyngeal jaws? I could not find the lower one. Found something that looked like an upper pharyngeal jaw. The body shape looks like NP and it had large spines on the dorsal fin; later: confirmed to be NP by Lauren,NA,Jennifer Sunahara
2012,12,17,90,ufp,1,0.4055,NA,NA,"no pharyngeal jaws, no fins, no scales, not much body shape",NA,Jennifer Sunahara
2012,11,17,1153,ufp,1,0.2003,NA,NA,"no pharyngeal jaws, no fins, no scales, not much body shape",NA,Jennifer Sunahara
2012,11,17,1153,diptera,2,0.0104,NA,NA,2 species,NA,Jennifer Sunahara
2012,12,18,120,hap,1,8.3473,NA,NA,"pharyngeal jaws, ctenoid scales, body shape, fins (good specimen)",NA,Jennifer Sunahara
2013,01,26,180,hap,2,4.5703,NA,NA,"could also be 26/07/2013, but probably 26/01/2013; pharyngeal jaws, HAP body shape, fins and ctenoid scales",NA,Jennifer Sunahara
2013,01,26,180,cichlid,1,1.3485,NA,NA,"pharyngeal jaws, but no scales, few fins and little body shape",NA,Jennifer Sunahara
2012,12,14,78,cichlid,1,19.2273,NA,NA,"very large; pharyngeal jaws, no clear scales, body shape unclear",NA,Jennifer Sunahara
2012,12,14,78,ufp,1,1.0186,NA,NA,"no pharyngeal jaws, no fins, no scales, no body shape",NA,Jennifer Sunahara
2012,12,14,71,ufp,1,1.116,NA,NA,no pharyngeal jaws fish head with a little bit of body,NA,Jennifer Sunahara
2012,11,29,60,cichlid,1,3.9109,NA,NA,"pharyngeal jaws, looks like HAP, but not enough body shape to be sure",NA,Jennifer Sunahara
2012,11,22,4,cichlid,1,0.7402,NA,NA,"pharyngeal jaws, very little actual body shape",NA,Jennifer Sunahara
2013,01,25,200,ufp,1,0.0475,NA,NA,small fish with not much body shape; flesh & bones; no pharyngeal jaws,NA,Jennifer Sunahara
2013,01,25,200,diptera,many,0.1712,NA,NA,"at least 2 species (white and small; green and larger), noteworthy",NA,Jennifer Sunahara
2012,12,17,92,mukene,2,2.4676,NA,NA,"black line, body shape, dorsal and anal fin are aligned, no pharyngeal jaws",NA,Jennifer Sunahara
2012,12,14,76,mukene,1,1.1193,NA,NA,"black line, body shape looks like RAS, but no fins to confirm; no pharyngeal jaws; later: confirmed to be RAS by Lauren",NA,Jennifer Sunahara
2012,11,18,1155,cichlid,1,0.5986,NA,NA,"pharyngeal jaws, no fins, no body shape",NA,Jennifer Sunahara
2012,11,18,1155,ephemeroptera larvae,1,0.0216,NA,NA,incomplete body,NA,Jennifer Sunahara
2012,11,18,1155,diptera,1,0.0119,NA,NA,NA,NA,Jennifer Sunahara
2012,09,28,999,ufp,1,0.9879,NA,NA,just a mass of flesh and bone,NA,Jennifer Sunahara
2012,09,28,999,vegitation,NA,0.3032,NA,NA,NA,NA,Jennifer Sunahara
2012,11,29,59,hap,2,1.2936,NA,NA,"pharyngeal jaws, body shape, fins, ctenoid scales",NA,Jennifer Sunahara
2012,11,29,59,cichlid,1,0.1997,NA,NA,"pharyngeal jaws, not much body shape, no fins, nor scales",NA,Jennifer Sunahara
2012,11,22,14,nile perch,1,3.4708,NA,NA,"no pharyngeal jaws, huge spikes on the dorsal fin, body shape",NA,Jennifer Sunahara
2012,11,28,44,cichlid,1,0.3162,NA,NA,"pharyngeal jaws, no body (just head), no scales",NA,Jennifer Sunahara
2013,01,25,179,ufp,2,1.3029,NA,NA,"no pharyngeal jaws, no fins; just flesh & bone (might be 25/04/2013)",NA,Jennifer Sunahara
2012,01,22,146,diptera,4,0.0259,NA,NA,NA,NA,Jennifer Sunahara
2013,01,26,188,cichlid,1,0.6469,NA,NA,"pharyngeal jaws, fins, body shape looks HAP, no scales to confirm",NA,Jennifer Sunahara
2012,11,28,42,clarias,1,2.1494,NA,NA,"barbels, body & body shape",NA,Jennifer Sunahara
2012,11,28,42,cichlid,1,0.4644,NA,NA,"pharyngeal jaws, not much body shape, no scales",NA,Jennifer Sunahara
2012,11,28,42,vegitation,NA,0.5935,NA,NA,NA,NA,Jennifer Sunahara
2013,01,25,192,cichlid,1,0.3381,NA,NA,"pharyngeal jaws, not much body shape, no fins",NA,Jennifer Sunahara
2012,12,14,73,ufp,1,1.1168,NA,NA,"flesh & bone, no fins, no body shape",NA,Jennifer Sunahara
2012,12,14,73,cichlid,1,0.5175,NA,NA,"pharyngeal jaws, no real body shape, no fins",NA,Jennifer Sunahara
